param_type,feature,intercept,positive_class,notes,imputer_median,scaler_mean,scaler_scale,coef_on_scaled
intercept,__INTERCEPT__,-2.348285053248744,1,Prediction uses: z = (x_imputed - scaler_mean) / scaler_scale; logit = intercept + sum(coef_on_scaled * z),,,,
feature,age,-2.348285053248744,1,,55.0,56.04973451327434,8.937016831192679,0.9341465323395204
feature,bmi,-2.348285053248744,1,,26.19617644491255,26.966383847704478,4.719353016965645,0.7447506907749115
feature,history_surgery,-2.348285053248744,1,,0.0,0.035575221238938,0.18522857466584,0.4006933610924805
feature,history_trauma,-2.348285053248744,1,,0.0,0.1472566371681415,0.3543615667338543,0.3371542467608912
feature,race_raw_3,-2.348285053248744,1,,0.0,0.4870796460176991,0.4998330365761871,-0.192088143298618
feature,waist_hip_ratio,-2.348285053248744,1,,0.9104166875,0.9098306278981472,0.0867437079064368,-0.2473688784187515
feature,occupation_4,-2.348285053248744,1,,1.0,0.604778761061947,0.4888981603875427,-0.2112986726152406
feature,occ_squatting,-2.348285053248744,1,,0.0,0.1684955752212389,0.3743057792128018,-0.1551179632403984
